Anderson	D.L.T.	Department of Atmospheric Physics, University of Oxford	Oxford	U.K.
Alderson	S.	Institute of Oceanographic Sciences	Wormley	U.K.
Bah	A.	Université Laval	Québec	Canada
Beckers	P.	Université de Liège	Liège	Belgium
Berger	A.	Université Catholique de Louvain	Louvain-la-Neuve	Belgium
Bigg	G.R.	University of Cambridge	Cambridge	U.K.
Blackmon	M.L.	National Center for Atmospheric Research  	Boulder	U.S.A.
Boer	G.J.	Canadian Climate Center	Downsview	Canada
Bormans	M.	Dalhousie University	Halifax	Canada
Boukari	S.	University of Niamey	Niamey	Niger
Bretherton	F.P.	National Centre for Atmospheric Research	Boulder	U.S.A.
Brickman	K.	Princeton University	Princeton	U.S.A.
Bryan	K.	Geophysical Fluid Dynamics Laboratory, Princeton University	Princeton	U.S.A.
Bye	J.A.T.	School of Earth Sciences, The Flinders University of South Australia	Bedford Park	Australia
Cane	M.	Lamont-Doherty Geological Observatory	Palisades	U.S.A.
Clement	F.	Université de Liège	Liège	Belgium
Cooper	N.	University of Oxford	Oxford	U.K.
Coren		Université de Liège	Liège	Belgium
Crépon	M.L.	Museum National d’Histoire Naturelle, Laboratoire d’Océanographie Physique	Paris	France
Cubash	U.	European Centre for Medium Range Weather Forecasts	Reading	U.K.
Cushman-Roisin	B.	Mesoscale Air-Sea Interaction Group, Florida State University	Tallahassee	U.S.A.
Davey	M.K.	Department of Applied Mathematics and Theoretical Physics, University of Cambridge	Cambridge	U.K.
Delecluse	P.	Museum National d’Histoire Naturelle, Laboratoire d’Océanographie Physique	Paris	France
Deleersnijder	E.	Université de Liège	Liège	Belgium
De Ruijter	W.P.M.	Rijkwaterstaat/Deltadienst	The Hague	The Netherlands
Disteche	A.	Université de Liège	Liège	Belgium
Djenedi	S.	Université de Liège	Liège	Belgium
Dore	A.	Editions Dunod-Bordas-Gauthier-Villars	Paris	France
Dymnikov	V.	USSR Academy of Sciences	Moscow	Russia
Endoh	M.	Meteorological Research Institute	Ibaraki	Japan
Esbensen	S.K.	Department of Atmospheric Sciences, Oregon State University	Corvallis	U.S.A.
Everbecq	E.	Université de Liège	Liège	Belgium
Fennessy	M.J.	Centre for Ocean-Land-Atmosphere Interactions, Department of Meteorology, University of Mariland	College Park	U.S.A.
Frankignoul	C.	Laboratoire de Physique et Chimie Marines, Université Pierre et Marie Curie	Paris	France
Gallardo	Y.	Centre Océanologique de Bretagne	Brest	France
Gaspar	P.	Université Catholique de Louvain	Louvain-la-Neuve	Belgium
Gates	W.L.	Department of Atmospheric Sciences, Oregon State University	Corvallis	U.S.A.
Ghazi	A.	Commission des Communautés Européennes	Bruxelles	Belgium
Gill	A.E.	Hooke Institute, Clarendon Laboratory	Oxford	U.K.
Gillot	R.H.	Commission des Communautés Européennes	Bruxelles	Belgium
Gonella	J.	Museum National d’Histoire Naturelle, Laboratoire d’Océanographie Physique	Paris	France
Gordon	C.	Dynamical Climatology Branch, Meteorology Office	Bracknell	U.K.
Guo	Yu-Fu	Institute of Atmospheric Sciences, Academia Sinica	Beijing	China
Hacker	P.W.	National Science Foundation	Washington D.C.	U.S.A.
Han	Y.-J.	Department of Atmospheric Sciences, Oregon State University	Corvallis	U.S.A.
Happel	J.J.	Université de Liège	Liège	Belgium
Heburn	G.W.	NORDA	NSTL Station, Ma.	U.S.A.
Hirst	A.C.	Department of Meteorology, University of Wisconsin	Madison	U.S.A.
Jamart	B.	Université de Liège	Liège	Belgium
Jensen	T.G.	University of Copenhagen	Copenhagen	Denmark
Johnson	J.A.	University of East Anglia	Norwich	U.K.
Killworth	P.D.	Department of Applied Mathematics and Theoretical Physics, University of Cambridge	Cambridge	U.K.
Kitaigorodskii	S.	The Johns Hopkins University	Baltimore	U.S.A.
Krause	E.B.	Cooperative Institute for Research in Environmental Sciences, University of Colorado	Boulder	U.S.A.
Kruse	H.	Max Planck Institut für Meteorologie 	Hamburg	Germany
Kurbatkin	G.P.	USSR Academy of Sciences	Moscow	Russia
Latif	M.	Max Planck Institut für Meteorologie 	Hamburg	Germany
Lau	W.K.-M.	Goddard Laboratory for Atmospheric Sciences	Greenbelt	U.S.A.
Lebon	G.	Université de Liège	Liège	Belgium
Le Treut	H.	Laboratoire de Météorologie Dynamique	Paris	France
Liou	C.-S.	Department of Meteorology, Naval Postgraduate School	Monterey	U.S.A.
Malvestuto	V.	Istituto di Fisica dell’Atmosfera	Roma	Italy
Maher	M.A.C.	Department of Commerce/NOAA, Geophysical Fluid Dynamics Laboratory, Princeton University	Princeton	U.S.A.
McCreary Jr.	J.P.	Nova University Oceanographic Center	Dania, FL	U.S.A.
McIntyre	A.	Lamont-Doherty Geological Observatory	Palisades	U.S.A.
McPhaden	M.	University of Washington	Seattle	U.S.A.
Merle	J.	Université Pierre et Marie Curie	Paris	France
Merzi	N.	Ecole polytechnique Fédérale de Lausanne	Lausanne	Switzerland
Michaud	R.L.	Laboratoire de Météorologie Dynamique du CNRS	Paris	France
Miralles	L.	Instituto de Investigagiones Pesqueras de Barcelona	Barcelona	Spain
Mitchell	J.F.B.	Meteorological Office	Bracknell	U.K.
Molcard	R.	UNESCO	Paris	France
Molin	A.	Université Pierre et Marie Curie	Paris	France
Monreal	A.	CICESE	Ensenada	Mexico
Muir	D.L.T.	Department of Mathematics, Exeter University	Exeter	U.K.
Nemry	B.	Université de Liège	Liège	Belgium
Neves	R.	Instituto Superior Tecnico	Lisboa	Portugal
Newman	M.R.	Meteorological Office	Bracknell	U.K.
Newson	R.L.	World Meteorological Organisation	Geneva	Switzerland
Niiler	P.	Scripps Institute of Oceanography	La Jolla	U.S.A.
Nihoul	J.C.J.	Université de Liège	Liège	Belgium
Oberuber	J.M.	Universität Hamburg	Hamburg	Germany
O’Brien	J.J.	Mesoscale Air-Sea Interaction Group, Florida State University	Tallahassee	U.S.A.
Olbers	D.J.	Max Planck Institut für Meteorologie 	Hamburg	Germany
Oort	A.H.	U.S. Department of Commerce/NOAA, Geophysical Fluid Dynamics Laboratory, Princeton University	Princeton	U.S.A.
Opsteegh	T.	K.N.M.I.	De Bilt	The Netherlands
Palmer	T.N.	Meteorological Office	Bracknell	U.K.
Pan	Y.	Second Institute of Oceanography	Hangzhou	China
Philander	S.G.H.	Geophysical Fluid Dynamics Laboratory, Princeton University	Princeton	U.S.A.
Picaut	J.	Laboratoire d’Océanographie Physique, Université de Bretagne Occidentale	Brest	France
Pierini	S.	Istituto Universitario Navale	Napoli	Italy
Pirlet	A.	Université de Liège	Liège	Belgium
Poulain	P.M.	Université de Liège	Liège	Belgium
Prangsma	G.J.	K.N.M.I.	De Bilt	The Netherlands
Preisendorfer	R.W.	PMEL/NOAA	Seattle	U.S.A.
Price	C.	Meteorological Office	Bracknell	U.K.
Pu	S.	First Institute of Oceanography	Qingdac	China
Ramming	H.G.	Aumühle	Aumühle	Germany
Rasmusson	E.M.	Climate Analysis Center	Washington D.C.	U.S.A.
Rebert	J.P.	Office de la Recherche Scientifique et Technique d’Outre-Mer, Centre de Nouméa	Noumea	New Caledonia
Rennick	M.A.	Naval Postgraduate School 	Monterey	U.S.A.
Rogers	C.	Institute of Oceanographic Sciences	Wormley	U.K.
Ronday	F.C.	Université de Liège	Liège	Belgium
Rowe	M.A.	Department of Oceanography, University of Southampton	Southampton	U.K.
Salas de Leon	D.J.	CICESE	Ensenada	Mexico
Sarkisyan	A.S.	Department of Numerical Mathematics, USSR Academy of Sciences	Moscow	Russia
Sauvel	J.	Service Hydrographique et Océanographique de la Marine	Brest	France
Schlesinger	M.E.	Department of Atmospheric Sciences, Oregon State University	Corvallis	U.S.A.
Schopf	P.S.	Goddard Laboratory for Atmospheric Sciences, NASA/Goddard Space Flight Center	Greenbelt	U.S.A.
Semter	A.J.	National Center for Atmospheric Research  	Boulder	U.S.A.
Servain	J.	Laboratoire d’Océanographie Physique, Université de Bretagne Occidentale	Brest	France
Shukla	J.	Centre for Ocean-Land-Atmosphere Interactions, Department of Meteorology, University of Mariland	College Park	U.S.A.
Silver	D.	The Johns Hopkins University	Laurel	U.S.A.
Smith	N.R.	University of Southampton	Southampton	U.K.
Smitz	J.	Université de Liège	Liège	Belgium
Spitz	Y.	Université de Liège	Liège	Belgium
Suarez	M.J.	Global Modelling and Simulation Branch, NASA/Goddard Space Flight Center	Greenbelt	U.S.A.
Taylor	A.H.	Natural Environment Research Council, Institute for Marine Environmental Research	Plymouth	U.K.
Thomson	B.J.	UNESCO	Paris	France
Thomson	K.	Dalhousie University	Halifax	Canada
Tidmarsh	E.	Dalhousie University	Halifax	Canada
Tintore	J.	Instituto de Investigagiones Pesqueras de Barcelona	Barcelona	Spain
Tourre	Y.	Laboratoire de Physique et Dynamique de l’Atmosphère/ORSTOM, Université Pierre et Marie Curie	Paris	France
Van Ypersele	J.P.	National Center for Atmospheric Research  	Boulder	U.S.A.
Von Storch	H.	Meteorologisches Institut der Universität Hamburg	Hamburg	Germany
Webster	F.	University of Delaware	Lewes, Delaware	U.S.A.
Wells	N.	Department of Oceanography, University of Southampton	Southampton	U.K.
Willebrand	J.	Institut für Meereskunde, Universität Kiel	Bracknell	U.K.
Woods	J.D.	Institut für Meereskunde, Universität Kiel	Kiel	Germany
Yamagata	T.	Research Institute for Applied Mechanics, Kyushu University	Kasuga	Japan
Yepdjuo	E.	Service Météorologique National	Douala	Cameroun
Zicarelli	M.	Istituto Universitario Navale	Napoli	Italy
Zimmermann		Université de Liège	Liège	Belgium
